year,player,ras
2025,Logan Collier,9.55
2025,Chandler Brayboy,9.52
2025,Joaquin Davis,9.33
2025,Blayne Taylor,8.72
2025,Matthew Akuchie,8.66
2025,Davelon Campbell,8.62
2025,Darius Cooper,8.58
2025,Nah'Shawn Hezekiah,8.44
2025,Redd Douglas,8.42
2025,Logan Tomlinson,8.35
2025,Cameron Camper,8.19
2025,Kasey Hawthorne,8.12
2025,Cody Tierney,7.99
2025,Garrett Greene,7.75
2025,Joey Gillette,7.69
2025,Tommy (G) Wilson,7.56
2025,Landon Ruggieri,7.52
2025,Sevonne Rhea,7.49
2025,DeVonte Tanksley,7.39
2025,Canyon Bauer,7.28
2025,JP Richardson,7.14
2025,Preston Smith,7.0
2025,Lewis McCollum,6.82
2025,Daniel Wiebe,6.77
2025,Hollis Mathis,6.7
2025,Tyler Kahnmann,6.68
2025,Ahmari Higgins-Bruce,6.57
2025,Moochie Dixon,6.43
2025,Joachim Trouabal,6.42
2025,Jeremiah Taylor,6.32
2025,Louis (G) Geyer,6.16
2025,Jack Studer,6.11
2025,Jack Fisher,6.1
2025,Taylor Tosches,6.0
2025,Max McLeod,5.99
2025,Cassell Wiggins,5.95
2025,Junior Bergen,5.82
2025,Twon Hines,5.74
2025,Kolby Hurford,5.71
2025,Nigel Mitchell,5.7
2025,Sergio Morancy,5.34
2025,Zach Patterson,5.22
2025,Average WR,5.14
2025,DJ Rias,5.11
2025,Zoe Roberts,5.11
2025,Devon Frenchko,5.04
2025,Efton Chism III,5.02
2025,AJ Jackson,4.98
2025,Nahsir Morgan,4.97
2025,Jamal Cooney,4.95
2025,Aaron Sexton,4.88
2025,Collin Brunstein,4.84
2025,Darius Martin,4.79
2025,Austin Jablonski,4.74
2025,Jared Gipson,4.7
2025,Vyshonne Janusas,4.6
2025,Anthony Popov,4.44
2025,Kenny Womack,4.44
2025,Ja'Seem Reeed,4.4
2025,Christian Fredericksen,4.32
2025,Montigo Moss,4.31
2025,Scott Fraser,4.3
2025,Ismael Fuller,4.21
2025,Jig Williams,4.16
2025,Kyle Nott,4.04
2025,Isaac Gaillardetz,3.98
2025,Jeremiah Edwards,3.96
2025,Jaylen Green,3.82
2025,Darrell Johnson,3.81
2025,Michael Monios,3.64
2025,Bo Belquist,3.62
2025,Barry Hill,3.34
2025,Chris Houston,3.28
2025,Keelan White,3.25
2025,A.J. Coons,3.16
2025,Romon Copeland Jr.,3.16
2025,Peter Uboibok,3.14
2025,Iaan Cousin,3.09
2025,Kurtis Ravenel,3.08
2025,Raidan Thorne,3.03
2025,Dorian Anderson,2.97
2025,Braylon Henderson,2.96
2025,Nate Bzennett,2.95
2025,Joey Felton,2.93
2025,Travis West,2.93
2025,John Erby,2.88
2025,Ashton Maples,2.85
2025,Ethan Jordan,2.85
2025,Desmond Hutson,2.83
2025,Dakota Warfield,2.8
2025,Demonte Martin,2.79
2025,Joshua Cobbs,2.74
2025,Jaih Andrews,2.66
2025,Josh Letellier,2.62
2025,Jay Fraziars,2.5
2025,J.T. Thomas,2.47
2025,Scooter Risper,2.43
2025,Jeremiah Cooley,2.41
2025,Jayden Horace,2.39
2025,Robert McMinn,2.39
2025,Delvin Attafah,2.38
2025,Trejon Spiller,2.29
2025,C.J. Hutton,2.27
2025,Jake Coleman,2.23
2025,Anthony Stell,2.12
2025,Chris Charles,2.09
2025,Hassane Dosso,2.09
2025,Tailon Garrett,2.08
2025,Sylvere Campbell,2.04
2025,Chris Herron,2.0
2025,Abdul-Mujeeb Rufai,1.99
2025,Isaiah Wilson,1.98
2025,Donald McKinney,1.93
2025,JR Waters,1.87
2025,Naseim Brantley,1.84
2025,Chaz Davis,1.81
2025,Jay Parker,1.77
2025,Michael Marshall,1.77
2025,Trenton Thompkins,1.76
2025,Jacob Sharp,1.7
2025,Brendan Teal,1.7
2025,Shemar Savage,1.63
2025,Steven Peterson,1.57
2025,Kelin Parsons,1.53
2025,Deon Cook,1.49
2025,Tedy Afful,1.48
2025,Ty Arrington,1.47
2025,Izayah Reeves,1.45
2025,Jason Soriano,1.45
2025,Derin McCulley,1.42
2025,Timieone Jackson,1.39
2025,Mikey Jones,1.39
2025,Da'Shun Mitchell,1.35
2025,Brayden Misseri,1.34
2025,Jacob Gathraight,1.32
2025,Brazos Gadler,1.28
2025,Terry Matthews,1.27
2025,Dorrian Moultrie,1.25
2025,Zach Gibson,1.23
2025,Donald Cleveland,1.22
2025,Sam Davenport,1.22
2025,Kaseem Ferdinand,1.15
2025,Jalen Jones,1.0
2025,Dameon Gomes,1.0
2025,Benjamin Omayebu,0.99
2025,Tyshun Jordan,0.93
2025,TK Kenebrew,0.89
2025,Khris Binion,0.84
2025,Za'Tarious Anderson,0.83
2025,Isaac Boston,0.77
2025,Julian Clarke,0.75
2025,Darius Hyde,0.73
2025,Ovauntay Vickers,0.69
2025,Damon Kickok,0.68
2025,Dominicc Smith,0.68
2025,Keenan Hambrick,0.66
2025,Jihari Patterson,0.63
2025,Virgil Young Jr.,0.5
2025,Emari O'Brien,0.42
2025,Trevonte' Rucker,0.42
2025,Aaron Fontes,0.34
2025,Adrian Adams,0.31
2025,Julian Ferguson,0.29
2025,Jordan Bingham,0.26
2025,Marquez Phillips,0.24
2025,Gus Charles,0.2
2025,Nate Monroe,0.16
2025,Zach Norton,0.15
2025,Steven Alaniz,0.12
2025,Ty Wiley,0.1
2025,Dejuan Bell,0.07
2025,Beau Burk,0.07
